CONTAINER ID ,IMAGE,COMMAND,CREATED,STATUS,PORTS,NAMES
0e327d3addf0,docker.io/minio/minio:latest,server /data --co...,2 hours ago,Up 2 hours,0.0.0.0:9000-9001->9000-9001/tcp,minio-server
1439b4ba453e,docker.io/library/registry:latest,/etc/distribution...,2 hours ago,Up 2 hours,0.0.0.0:5000->5000/tcp,registry
01c7a7eaeb7d,localhost/omnia_core:1.0,/bin/sh -c mkdi..,3 hours ago,Up 3 hours,2222/tcp,omnia_core
3087ca8e0324,localhost/omnia_auth:1.0,/opt/bitnami/scri...,2 hours ago,Up 2 hours,"0.0.0.0:389->389/tcp, 0.0.0.0:636->636/tcp",omnia_auth
bfec21c3e14a,ghcr.io/openchami/local-ca:v0.2.2,/bin/sh -c exec /...,2 hours ago,Up 2 hours,9000/tcp,step-ca
577af6a7af16,docker.io/library/postgres:11.5-alpine,postgres,2 hours ago,Up 2 hours,5432/tcp,postgres
d267d7eee9c8,docker.io/oryd/hydra:v2.3,serve -c /etc/con...,2 hours ago,Up 2 hours,,hydra
c609cf73dd4f,ghcr.io/openchami/opaal:v0.3.10,/opaal/opaal serv...,2 hours ago,Up 2 hours,,opaal-idp
be4dea6159f3,ghcr.io/openchami/smd:v2.18.0,/smd,2 hours ago,Up 2 hours,27779/tcp,smd
2aa3b79b9e1f,ghcr.io/openchami/bss:v1.32.0,/bin/sh -c /usr/l...,2 hours ago,Up 2 hours,27778/tcp,bss
eea83cdfaf93,ghcr.io/openchami/opaal:v0.3.10,/opaal/opaal logi...,2 hours ago,Up 2 hours,,opaal
5d32b95a8083,ghcr.io/openchami/cloud-init:v1.2.3,/bin/sh -c /usr/l...,2 hours ago,Up 2 hours,,cloud-init-server
3ad8781f4d1d,cgr.dev/chainguard/haproxy:latest,haproxy -f /usr/l...,2 hours ago,Up 2 hours,"0.0.0.0:8081->80/tcp, 0.0.0.0:8443->443/tcp",haproxy
b08dc56c006f,ghcr.io/openchami/coredhcp:v0.3.0,/coredhcp,2 hours ago,Up 2 hours,,coresmd
