Parameter,Mandatory/Optional,Details
``idrac_telemetry_support``,Mandatory,
``idrac_telemetry_collection_type``,Mandatory,
victoria_configurations > ``deployment_mode``,Mandatory,
victoria_configurations > ``persistence_size``,Conditional Mandatory,
victoria_configurations > ``retention_period``,Conditional Mandatory,
kafka_configurations > ``persistence_size``,Conditional Mandatory,
kafka_configurations > ``log_retention_hours``,Conditional Mandatory,"*  Specify the number of hours to retain Kafka logs before they are deleted.
*  **Default**: 168 (7 days)"
kafka_configurations > ``log_retention_bytes``,Conditional Mandatory,"* Specify the maximum size of Kafka logs (in bytes) before they are deleted.
* **Default**: -1 (unlimited)"
kafka_configurations > ``log_segment_bytes``,Conditional Mandatory,"
* Specify the maximum size of Kafka log segments (in bytes) before they are deleted.
* **Default**: 1073741824 (1 GB)"
kafka_configurations > ``topic_partitions``,Conditional Mandatory,"* Specify the partition counts for the following topics:
  * idrac
  * ldms
  * ome

* Default partition counts: ``idrac=1``, ``ldms=2``, ``ome=1``

* Example::

       topic_partitions:
         - name: ""idrac""
           partitions: 1
         - name: ""ldms""
           partitions: 2        "
LDMS port configurations > ``ldms_agg_port``,Conditional Mandatory,"*  Specify the aggregator port to be used on the service k8s cluster.
* **Valid range**: 6001-6100
* **Default**: 6001"
LDMS port configurations > ``ldms_store_port``,Conditional Mandatory,"*  Specify the store daemon port to be used on the service k8s cluster
* The port can be the same as LDMS aggregator port specified for ``ldms_agg_port``
* **Valid range**: 6001-6100
* **Default**: 6001"
LDMS port configurations > ``ldms_sampler_port``,Conditional Mandatory,"* Specify the sampler port to be used on the compute nodes.
* **Valid range**: 10001-10100
* **Default**: 10001"
ldms_sampler_configurations > ``meminfo``,Mandatory,"* Collects memory usage statistics (free, used, buffers, cached, etc.).
* **plugin_name:** ``meminfo``
* **config_parameters** ``""""``
*  **activation_parameters**:``interval=1000000``  indicates memory data  metrics collected every 1 second.
* The interval unit is microseconds
"
ldms_sampler_configurations > ``procstat2``,Mandatory,"* Collects process statistics (CPU, memory, I/O per process).
* **plugin_name:** ``procstat2``
* **config_parameters** ``""""``
* **activation_parameters:** ``interval=1000000``
* The interval unit is microseconds
"
ldms_sampler_configurations > ``vmstat``,Mandatory,"* Collects virtual memory statistics (paging, swapping, memory pressure).
* **plugin_name:** ``vmstat``
* **config_parameters** ``""""``
* **activation_parameters:** ``interval=1000000``
* The interval unit is microseconds
"
ldms_sampler_configurations > ``loadavg``,Mandatory,"* Collects system load average (1, 5, and 15 minute averages).
* **plugin_name:** ``loadavg``
* **config_parameters:** ``""""``
* **activation_parameters** ``interval=1000000``
* The interval unit is microseconds
"
ldms_sampler_configurations > ``procnetdev2``,Mandatory,"* Collects network interface statistics (bytes, packets, errors, drops per interface)
* The possible config parameters are:
    * ifaces=eth0,eth1: Specific interfaces to monitor
    * If not specified, all network interfaces will be monitored
* **plugin_name**: procnetdev2
* **config_parameters**: """"  
* **activation_parameters**: ``interval=1000000 offset=0``
* The interval unit is microseconds"
